   K      RHOKP      DRHOKP      RHOKN     DRHOKN
 ****  ************  *********  ***********  *********
  0    1442.5        1.3156     519.09        .67563
   .1  1290.5         .95552    472.55        .48203
   .2   951.5         .48571    366.22        .26693
   .3   614.9         .21874    254.11        .13544
   .4   368.7         .10424    164.46        .06781
   .5   213           .060494   101.94        .03831
   .6   121.21        .040883    61.513       .025705
   .7    68.69        .028143    36.613       .018335
   .8    39.04        .018811    21.705       .012767
   .9    22.33        .012248    12.91        .0084918
  1      12.886       .0080858    7.7372      .0054646
  1.1     7.515       .0058442    4.6971      .0035864
  1.2     4.442       .0049253    2.9017      .0027354
  1.3     2.67        .0045449    1.8312      .0024884
  1.4     1.6388      .0043149    1.1879      .0024612
  1.5     1.0356      .0040226     .7966      .002406
  1.6      .6819      .0036662     .5556      .0022853
  1.7      .4716      .0032753     .404       .0021093
  1.8      .3445      .0028633     .3061      .0018988
  1.9      .26705     .0024719     .24127     .0016736
  2        .21745     .0020904     .19626     .0014465
  2.1      .18243     .0017551     .16321     .0012326
  2.2      .15554     .0014482     .13763     .0010328
  2.3      .13538     .0011845     .11763    8.5445E-4
  2.4      .11977    9.5488E-4     .10161    6.9614E-4
  2.5      .10563    7.6205E-4     .0879     5.5993E-4
  2.6      .09286    6.0097E-4     .07606    4.4421E-4
  2.7      .08209    4.7016E-4     .06601    3.4818E-4
  2.8      .07293    3.6564E-4     .05748    2.7014E-4
  2.9      .06453    2.8526E-4     .04999    2.0845E-4
  3        .05672    2.2468E-4     .04333    1.6101E-4
  3.1      .04978    1.8224E-4     .03752    1.2665E-4
  3.2      .04355    1.5295E-4     .03242    1.0297E-4
  3.3      .03795    1.3462E-4     .02794    8.813E-5
  3.4      .03295    1.2247E-4     .024011   7.9202E-5
  3.5      .02857    1.1417E-4     .020607   7.3742E-5
  3.6      .02476    1.0706E-4     .017671   6.9777E-5
  3.7      .02139    1.0043E-4     .015107   6.6222E-5
  3.8      .018385   9.3611E-5     .012884   6.2455E-5
  3.9      .015764   8.654E-5      .010961   5.8388E-5
  4        .013496   7.9126E-5     .009306   5.3945E-5
  4.1      .011515   7.1638E-5     .007879   4.9283E-5
  4.2      .00978    6.4226E-5     .00665    4.4503E-5
  4.3      .008296   5.6928E-5     .005601   3.9721E-5
  4.4      .007031   4.9929E-5     .004705   3.5064E-5
